Essential Oils,emulsion size,MIC,,,,,,,,,,,,,,,,,,,,,,,,,
AllSpice,21.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
Basil,148.4,10,,,,,,,,,,,,,,,,,,,,,,,,,
Bergamot,142.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Carrot,92.3,10,,,,,,,,,,,,,,,,,,,,,,,,,
Cedarwood,116.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Bark,90.2,10,,,,,,,,,,,,,,,,,,,,,,,,,
Citronella,52.1,10,,,,,,,,,,,,,,,,,,,,,,,,,
Copaiba,98.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
Coriander,130.3,10,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus,145.2,2.09,,,,,,,,,,,,,,,,,,,,,,,,,
Fennel,141.3,10,,,,,,,,,,,,,,,,,,,,,,,,,
Fir needle,107.4,2.09,,,,,,,,,,,,,,,,,,,,,,,,,
Frankincense,99.2,1.78,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender (French),107.9,8.75,,,,,,,,,,,,,,,,,,,,,,,,,
Geranum (Egyptian),96.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger,94.2,11.65,,,,,,,,,,,,,,,,,,,,,,,,,
Juniper berry,98.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
Key lime,107,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Eucalyptus,60.4,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,98.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregano,95.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,
Peppermint,129,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary,120.2,10,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet orange,124.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,95.1,10,,,,,,,,,,,,,,,,,,,,,,,,,
Valerian,94.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Wintergreen,137.4,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ylang ylang,82.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
